تحقيق محمد باقر الأنصاري	ق 1
الشيخ محمد فاضل المسعودي	1450
الشيخ سيد سابق	1450
سليمان بن عبد الله بن محمد بن عبد الوهاب (المتوفى: 1233هـ)	1233
أبو المظفر منصور بن محمد بن عبد الجبار السمعاني	0489
عبد الله بن علي بن أحمد بن محمد الحسني، المعروف بالوزير (المتوفى: 1147هـ)	1147
محمد بن عبد الرحمن المقرئ أبو الفرج	0618
إبراهيم بن موسى بن أبي بكر ابن الشيخ علي الطرابلسي، الحنفي (المتوفى: 922هـ)	0922
أبو إسحق برهان الدين محمد بن إبراهيم بن يحيى بن علي المعروف بالوطواط (المتوفى: 718هـ)	0718
أبو علي الحسن بن علي بن نصر الطوسي، الملقب: بكردوش (المتوفى: 312هـ)	0312
سليمان بن خلف الباجي	0474
ابن السكيت ، أبو يوسف يعقوب بن إسحاق (المتوفى : 244هـ)	0244
أحمد بن محمد بن حنبل الشيباني أبو عبدالله	0241
محمد رشيد بن علي رضا بن محمد شمس الدين بن محمد بهاء الدين بن منلا علي خليفة القلموني الحسيني (المتوفى: 1354هـ)	1354
أبو السعود العمادي محمد بن محمد بن مصطفى (المتوفى: 982هـ)	0982
السيد الخوانساري	1405
أبي العباس أحمد بن الخطيب	0810
محمد بن عمر بن علي بن نووي الجاوي أبو عبد المعطي	1316
محمد بن عبد العزيز بن العباس بن محمد بن عبد الله بن أحمد بن محمد بن عبد الله بن المهدي، أبو الفضل الهاشمي (المتوفى: 444هـ)	0444
الشيخ الطوسي	0460
أسلم بن سهل بن أسلم بن حبيب الرزاز الواسطي، أبو الحسن، بحشل (المتوفى: 292هـ)	0292
برهان الدين أبي الحسن إبراهيم بن عمر البقاعي	0855
أبي بكر ابن السيد محمد شطا الدمياطي	9999
مصطفى بن حسني السباعي (المتوفى: 1384هـ)	1384
أبو زيد عمر بن شبة النميري البصري	0262
عبد الرحمن بن علي بن محمد بن الجوزي أبو الفرج	0597
ابن الملقن سراج الدين أبو حفص عمر بن علي بن أحمد الشافعي المصري (المتوفى: 804هـ)	0804
الحافظ أبو الفضل تقي الدين محمد بن محمد بن فهد الهاشمي المكي	0871
عبد الوهاب بن منده	0511
علي بن عبد الله بن جعفر السعدي بالولاء المديني، البصري، أبو الحسن (المتوفى: 234هـ)	0234
الحافظ الفقيه صفي الدين أحمد بن عبد الله الخزرجي الأنصاري اليمني	0923
حمزة بن يوسف السهمي	0427
سفيان بن عيينة الكوفي	0199
أبو هلال الحسن بن عبد الله بن سهل بن سعيد بن يحيى بن مهران العسكري (المتوفى: نحو 395هـ)	NOTGIVEN
أبو بكر محمد بن أبي إسحاق بن إبراهيم بن يعقوب الكلاباذي البخاري الحنفي (المتوفى: 380هـ)	0380
علي بن الحسن بن هبة الله أبو القاسم	0571
عبد اللطيف بن يوسف بن محمد بن علي البغدادي، موفق الدين، ويعرف بابن اللباد، وبابن نقطة (المتوفى: 629هـ)	0629
السيد لطيف القزويني	1450
حسين غيب غلامي	1450
أبو العباس، أحمد بن عبد الله بن محمد، محب الدين الطبري (المتوفى: 694هـ)	0694
جعفر بن محمد بن الحسن الفريابي	0301
أبو بكر أحمد بن يوسف بن خلاد بن منصور النصيبي ثم البغدادي العطار (المتوفى: 359هـ)	0359
عمر بن شبة (واسمه زيد) بن عبيدة بن ريطة النميري البصري، أبو زيد (المتوفى: 262هـ)	0262
أبو العباس أحمد بن خالد بن محمد الناصري	1315
أبو القاسم حمزة بن يوسف بن إبراهيم السهمي القرشي الجرجاني (المتوفى: 427هـ)	0427
أبو عبد الله بن سعد بن أحمد السلماني (لسان الدين ابن الخطيب)	0776
أبو سليمان محمد بن عبد الله بن أحمد بن زبر الربعي	0379
محمد بن عمر بن مبارك الحميري الحضرمي الشافعي، الشهير بـ «بحرق» (المتوفى: 930هـ)	0930
الإمام زين العابدين (ع)	0094
أبو الطيب السيد صديق حسن القنوجي	1307
الحلبي	1044
علي بن الحسن بن علي بن أبي الطيب الباخرزي	0467
عبد الرحيم بن الحسن الأسنوي أبو محمد	0772
أبو بكر جعفر بن محمد بن الحسن بن المستفاض الفريابي (المتوفى: 301هـ)	0301
أحمد شوقي عبد السلام ضيف الشهير بشوقي ضيف (المتوفى: 1426هـ)	1426
حسن الأمين	1368
تنسب لشيخ الإسلام ابن تيمية (المتوفى: 728هـ)	0728
الفتح بن خاقان بن أحمد بن غرطوج، أبو محمد (المتوفى: 247هـ)	0247
مؤسسة الإمام المهدي (ع)	1450
ابن خلكان	0681
أبو إسحق برهان الدين محمد بن إبراهيم بن يحيى بن علي المعروف بالوطواط (المتوفى : 718هـ)	0718
الرازي	0327
أبو محمد سهل بن عبد الله بن يونس بن رفيع التستري (المتوفى: 283هـ)	0283
ميرداماد محمد باقر الحسيني الأستر آبادي	1041
محمد خليل بن علي بن محمد بن محمد مراد الحسيني، أبو الفضل (المتوفى: 1206هـ)	1206
أبو الليث نصر بن محمد بن أحمد بن إبراهيم السمرقندي (المتوفى: 373هـ)	0373
أبو الفضل القاضي عياض بن موسى اليحصبي (المتوفى: 544هـ)	0544
عبد الشافى محمد عبد اللطيف	NOTGIVEN
عبد الله بن عفيفي الباجوري (المتوفى: 1364هـ)	1364
علاء الدين عبد العزيز بن أحمد البخاري	0730
أبو القاسم خلف بن عبد الملك بن بشكوال (المتوفى: 578 هـ)	NOTGIVEN
سبط ابن الجوزي	0654
السيد حسين الرجا	1450
أبو محمد عبد الله بن أسعد بن علي بن سليمان اليافعي	0768
المنسوب إلى الإمام العسكري (ع)	0260
صلاح الدين خليل بن أيبك الصفدي (المتوفى : 764هـ)	0764
أبو مدين بن أحمد بن محمد بن عبد القادر بن علي الفاسي (المتوفى: بعد 1132هـ)	NOTGIVEN
صدر الدين، أبو طاهر السلفي أحمد بن محمد بن أحمد بن محمد بن إبراهيم سلفه الأصبهاني (المتوفى: 576هـ)	0576
شهاب الدين أحمد بن عبد الوهاب النويري	0733
أبي محمد عبد الله بن عبد الحكم	0214
أحمد بن علي بن أحمد الفزاري القلقشندي ثم القاهري (المتوفى: 821هـ)	0821
يحيى بن آدم القرشي	0203
عبد القادر بن محمد النعيمي الدمشقي (المتوفى: 927هـ)	0927
محمد بن الحسن بن محمد بن علي بن حمدون، أبو المعالي، بهاء الدين البغدادي (المتوفى: 562هـ)	0562
أحمد بن محمد بن سلمة	0321
جمال الدين أبي الفرج عبد الرحمن ابن الجوزي [508هـ - 597هـ]	NOTGIVEN
عثمان بن علي بن محجن البارعي، فخر الدين الزيلعي الحنفي (المتوفى: 743 هـ)	NOTGIVEN
الشيخ الكليني	0329
الفتال النيسابوري	0508
أبو الصلاح الحلبي	0447
داود بن سليمان الغازي	0203
عبدالله بن يوسف أبو محمد الحنفي الزيلعي	0762
حسن بن علي السقاف	1450
أبو بكر محمد بن يحى الصولي (المتوفى : 335هـ)	0335
عبد المؤمن بن عبد الحق، ابن شمائل القطيعي البغدادي، الحنبلي، صفي الدين (المتوفى: 739هـ)	0739
اللواء الركن محمود شيت خطاب	NOTGIVEN
أبو الحسن الغساني	0563
أبو عبد الله محمد بن داود بن الجراح (المتوفى: 296هـ)	0296
أحمد بن ملاعب أبو الفضل البغدادي المخرمي (المتوفى: 275هـ)	0275
أبي القاسم علي بن الحسن إبن هبة الله بن عبد الله الشافعي	0571
الشيخ محمد باقر الكجوري	1255
علي صدر الدين المدني ، المعروف بابن معصوم (المتوفى : 1119هـ)	1119
القاضي التنوخي	0384
محمد الأمين بن محمد المختار بن عبد القادر الجكني الشنقيطي (المتوفى: 1393هـ)	1393
أحمد بن عبد الله بن أحمد بن إسحاق بن موسى بن مهران المهراني الأصبهاني أبو نعيم	0430
أبي علي الحسين بن محمد بن أحمد الجبائي الأندلسي	0498
أبو هلال الحسن بن عبد الله بن سهل بن سعيد بن يحيى بن مهران العسكري (المتوفى : نحو 395هـ)	0395
الشيخ نجم الدين الطبسي	1334
ناصر بن عبد الله بن علي القفاري	NOTGIVEN
عبد الله بن محمد بن جعفر بن حيان الأصبهاني أبو محمد	0369
أبو محمد عبد الله بن وهب بن مسلم المصري القرشي (المتوفى: 197هـ)	0197
محمد بن عيسى بن محمود بن كنان (المتوفى : 1153هـ)	1153
